id,date,type,notes,finder,city,state,lat,lon,ref,map_image,gallery_image,icon_image
100001,9/18/2019,Ganoderma oregonense,AKA Oregon Reishi,Jarred,Portland,OR,45.587568,-122.793275,mpnw259,rsz_100001.jpg,100001.jpg,msh1.png
100002,10/6/2019,Amanita muscaria,AKA Fly Agaric,"Jessie, Jarred",Portland,OR,45.593545,-122.661295,mpnw84,rsz_100002.jpg,100002.jpg,msh1.png
100003,10/20/2019,Hypholoma fasciculare,Forest Park,"Billy, Jarred",Portland,OR,45.588725,-122.791729,mpnw206,rsz_100003.jpg,100003.jpg,msh1.png
100004,10/13/2019,Lactarius deliciosus,AKA Saffron Milk Cap,Jarred,Hammond,OR,46.229245,-123.998431,mpnw55,rsz_100004.jpg,100004.jpg,msh1.png
100005,10/20/2019,Calocera cornea,Forest Park,"Jarred, Billy",Portland,OR,45.587884,-122.792637,mpnw237,rsz_100005.jpg,100005.jpg,msh1.png
100006,10/27/2019,Xerocomellus zelleri,AKA Zeller's Bolete,Jarred,Portland,OR,45.588603,-122.799644,mpnw219,rsz_100006.jpg,100006.jpg,msh1.png
100007,10/2/2019,Cortinarius olympianus,Jessie & Luke's cabin adventure,Jessie,Leavenworth,WA,47.614531,-120.951482,mpnw158,rsz_100007.jpg,100007.jpg,msh1.png
100008,10/2/2019,Lycoperdon perlatum,AKA Gem-Studded Puffball,Jessie,Leavenworth,WA,47.626089,-120.964056,mnw232,rsz_100008.jpg,100008.jpg,msh1.png
100009,10/2/2019,Tubinellus floccosus,AKA Scaly Vase Chantrelle,Jessie,Leavenworth,WA,47.624127,-120.963222,mnw44,rsz_100009.jpg,100009.jpg,msh1.png
100010,11/16/2019,Cortinarius variosimilis,Breitenbush Hot Springs,"Jarred, Jessie",Detroit,OR,44.781089,-121.976606,mpnw160,rsz_100010.jpg,100010.jpg,msh1.png
100011,1/5/2020,Clavulina cristata,Josh's PNW visit,"Billy, Josh, Jarred",Cannon Beach,OR,45.918834,-123.971924,mpnw251,rsz_100011.jpg,100011.jpg,msh1.png
100012,2/16/2020,Nidula niveotomentosa,"Hike #1, 2020 - Gillette Lake","Jessie, Jarred",Stevenson,WA,45.650652,-121.92982,mpnw310,rsz_100012.jpg,100012.jpg,msh1.png
100013,3/15/2020,Trametes versicolor,AKA Turkey Tail,"Luke, Jarred",Portland,OR,45.588112,-122.795455,mpnw264,rsz_100013.jpg,100013.jpg,msh1.png
100014,4/15/2020,Hericium erinaceus,Lion's Mane grow bag,@btshrooms,Tigard,OR,45.403592,-122.760737,na,rsz_100014.jpg,100014.jpg,msh1.png
100015,5/1/2020,Otidea alutacea,Columbia Park,"Jarred, Tanukis",Portland,OR,45.578697,-122.709505,mpnw290,rsz_100015.jpg,100015.jpg,msh1.png
100016,5/3/2020,Pleurotus pulmonarius,AKA Indian Oyster,"Jarred, Luke",Portland,OR,45.593376,-122.800786,mpnw134,rsz_100016.jpg,100016.jpg,msh1.png
